Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 1
J1: 1,J2: -0.1,R1: 1,R2: 2,h = 0

Iteration:,0
Entropy:,0.692058
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38412
1,0.5956,1.52107,0.13695
2,0.212267,1.58221,0.198091
3,0.0689333,1.55103,0.166913
4,0.00782222,1.51607,0.131952
5,0.00795556,1.49708,0.112961
6,0.0110667,1.48709,0.102975
7,0.00820952,1.48171,0.0975973
8,0.00717778,1.47943,0.0953138
9,0.00588148,1.47982,0.0957046
10,0.000266667,1.48543,0.101318
11,0.00691313,1.49274,0.108625
12,0.00800741,1.49723,0.11311
13,0.000386325,1.49737,0.113253
14,0.00947937,1.4942,0.110082


Iteration:,1
Entropy:,0.69184
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38368
1,0.601832,1.51733,0.133652
2,0.212943,1.58205,0.198369
3,0.0670173,1.55404,0.170357
4,0.0201654,1.52079,0.137112
5,0.00716543,1.50152,0.117835
6,0.00742716,1.48763,0.103946
7,0.0229298,1.4758,0.0921214
8,0.0315012,1.4681,0.0844166
9,0.0260691,1.47113,0.0874534
10,0.00972346,1.48324,0.0995557
11,0.00365028,1.49571,0.112034
12,0.00794321,1.50326,0.11958
13,0.00576372,1.5052,0.121516
14,0.00310194,1.50266,0.118978


Iteration:,2
Entropy:,0.692792
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38558
1,0.621511,1.50962,0.124037
2,0.234844,1.58417,0.198588
3,0.106696,1.56289,0.177309
4,0.0665111,1.54263,0.157046
5,0.0539556,1.53663,0.151046
6,0.0415111,1.53124,0.145658
7,0.0253206,1.51898,0.133396
8,0.0137333,1.50459,0.119003
9,0.00768395,1.49332,0.107734
10,0.00262222,1.48546,0.0998753
11,0.00636768,1.478,0.0924188
12,0.0144148,1.4718,0.0862135
13,0.015412,1.47226,0.0866792
14,0.00848889,1.47893,0.0933433


Iteration:,3
Entropy:,0.686962
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.37392
1,0.589877,1.50966,0.135736
2,0.197654,1.57086,0.196938
3,0.0432099,1.53075,0.156832
4,0.0195679,1.4902,0.116274
5,0.0394568,1.47428,0.100356
6,0.0404938,1.4734,0.0994738
7,0.0263139,1.48088,0.106961
8,0.0117901,1.4902,0.116274
9,0.00197531,1.49604,0.122118
10,0.0107654,1.49724,0.123314
11,0.0167452,1.4963,0.122375
12,0.0148765,1.49355,0.119627
13,0.00782526,1.48984,0.115914
14,0.00345679,1.48595,0.112022


Averages
Entropy:,0.690913
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38183
1,0.602205,1.51442,0.132594
2,0.214427,1.57982,0.197996
3,0.0714642,1.54968,0.167853
4,0.0285167,1.51742,0.135596
5,0.0271333,1.50238,0.12055
6,0.0251247,1.49484,0.113013
7,0.0206935,1.48934,0.107519
8,0.0160506,1.48558,0.103752
9,0.0104025,1.48508,0.103253
10,0.00584444,1.48784,0.106016
11,0.00841908,1.49069,0.108863
12,0.0113105,1.49146,0.109633
13,0.00734682,1.49117,0.109341
14,0.00613175,1.49043,0.108606


