Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 29
J1: 1,J2: -0.1,R1: 3,R2: 14,h = 6

Iteration:,0
Entropy:,0.6721
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.3442
1,0.77598,1.3156,0.0286026
2,0.477091,1.4335,0.0892975
3,0.330054,1.50787,0.163667
4,0.223202,1.53796,0.193757
5,0.135091,1.53093,0.186733
6,0.0574617,1.49336,0.149156
7,0.0100515,1.4328,0.0886006
8,0.0670753,1.35983,0.0156336
9,0.108711,1.29764,0.0465576
10,0.127798,1.27035,0.0738485
11,0.126646,1.28083,0.0633727
12,0.110316,1.31593,0.0282731
13,0.0840198,1.36263,0.0184256
14,0.0546547,1.40924,0.0650347


Iteration:,1
Entropy:,0.6752
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.3504
1,0.777654,1.32557,0.0248295
2,0.464321,1.44265,0.0922522
3,0.312469,1.51577,0.165375
4,0.201543,1.54503,0.194627
5,0.113654,1.53673,0.186334
6,0.0354321,1.49692,0.146524
7,0.0325044,1.4328,0.0824007
8,0.0834568,1.36308,0.0126759
9,0.112222,1.31283,0.0375723
10,0.123679,1.29022,0.0601811
11,0.114871,1.30433,0.0460694
12,0.0990123,1.33958,0.010823
13,0.0777303,1.38242,0.032024
14,0.0518695,1.42639,0.0759851


Iteration:,2
Entropy:,0.67434
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.34868
1,0.773733,1.32668,0.0219961
2,0.461511,1.44564,0.0969586
3,0.307067,1.51636,0.167679
4,0.189289,1.54372,0.195039
5,0.0941778,1.5329,0.184223
6,0.0107704,1.49328,0.144604
7,0.0608698,1.43372,0.0850423
8,0.112656,1.37155,0.0228703
9,0.146267,1.32099,0.0276863
10,0.157822,1.29667,0.0520074
11,0.152125,1.30493,0.0437545
12,0.133304,1.33614,0.0125447
13,0.104728,1.37939,0.0307064
14,0.0740444,1.42075,0.0720707


Iteration:,3
Entropy:,0.670695
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.34139
1,0.762099,1.32575,0.0156373
2,0.460988,1.44077,0.0993842
3,0.310988,1.51173,0.170338
4,0.200988,1.53617,0.194779
5,0.111432,1.52216,0.180769
6,0.0302469,1.47618,0.134795
7,0.0363139,1.40952,0.0681331
8,0.0892901,1.3406,0.000788918
9,0.126296,1.28882,0.0525681
10,0.143457,1.27009,0.0713006
11,0.135679,1.28856,0.0528323
12,0.11142,1.33187,0.00951989
13,0.0782431,1.3816,0.0402124
14,0.0440917,1.42551,0.0841219


Averages
Entropy:,0.673084
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.34617
1,0.772367,1.3234,0.0227664
2,0.465978,1.44064,0.0944732
3,0.315144,1.51293,0.166764
4,0.203756,1.54072,0.194551
5,0.113589,1.53068,0.184515
6,0.0334778,1.48994,0.14377
7,0.0349349,1.42721,0.0810442
8,0.0881194,1.35877,0.0129922
9,0.123374,1.30507,0.0410961
10,0.138189,1.28183,0.0643344
11,0.13233,1.29466,0.0515072
12,0.113513,1.33088,0.0152902
13,0.0861803,1.37651,0.0303421
14,0.0561651,1.42047,0.0743031


