Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 14
J1: 1,J2: -0.1,R1: 1,R2: 14,h = 0

Iteration:,0
Entropy:,0.693145
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38629
1,0.797773,1.37139,0.0148966
2,0.452217,1.48554,0.0992509
3,0.275551,1.55883,0.172537
4,0.143884,1.58457,0.198285
5,0.0302173,1.57067,0.184377
6,0.0714864,1.52111,0.134823
7,0.160005,1.44154,0.0552464
8,0.213616,1.35775,0.0285381
9,0.234079,1.29608,0.0902085
10,0.230449,1.26979,0.116501
11,0.210712,1.27655,0.109739
12,0.17556,1.31754,0.0687467
13,0.122398,1.38137,0.00491451
14,0.057624,1.44954,0.0632518


Iteration:,1
Entropy:,0.693145
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38629
1,0.779995,1.38991,0.00362253
2,0.463328,1.51025,0.123959
3,0.302958,1.57347,0.18718
4,0.189995,1.58325,0.196961
5,0.0942173,1.55144,0.165151
6,0.0136988,1.48694,0.100653
7,0.0488938,1.40676,0.0204675
8,0.0908383,1.33708,0.0492057
9,0.108894,1.30109,0.0852
10,0.106227,1.30713,0.0791612
11,0.0878837,1.34776,0.038534
12,0.0613012,1.39995,0.0136601
13,0.0275263,1.45527,0.068976
14,0.00523316,1.5022,0.115911


Iteration:,2
Entropy:,0.693137
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38627
1,0.75998,1.40934,0.0230701
2,0.441091,1.52627,0.139991
3,0.283684,1.57943,0.193159
4,0.170536,1.57896,0.19269
5,0.0768691,1.53953,0.153258
6,0.00146173,1.47736,0.0910903
7,0.0543055,1.40696,0.0206862
8,0.0991864,1.34669,0.039582
9,0.122489,1.31625,0.0700252
10,0.129575,1.31788,0.0683986
11,0.111737,1.35824,0.0280349
12,0.0759457,1.41682,0.0305477
13,0.0330112,1.47302,0.0867445
14,0.0120437,1.51705,0.130777


Iteration:,3
Entropy:,0.693147
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38629
1,0.771111,1.39873,0.0124391
2,0.424444,1.52413,0.137834
3,0.254815,1.57806,0.191761
4,0.137222,1.58147,0.195176
5,0.0448889,1.55159,0.165293
6,0.0277778,1.50111,0.114813
7,0.0860317,1.43989,0.0536001
8,0.125278,1.38267,0.00362527
9,0.142963,1.3466,0.039694
10,0.144444,1.33385,0.0524415
11,0.132323,1.34472,0.0415781
12,0.108704,1.37707,0.00922543
13,0.0753846,1.42295,0.0366568
14,0.0368254,1.47137,0.0850777


Averages
Entropy:,0.693143
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38629
1,0.777215,1.39235,0.0135071
2,0.44527,1.51155,0.125259
3,0.279252,1.57245,0.186159
4,0.160409,1.58206,0.195778
5,0.0615481,1.55331,0.16702
6,0.0286062,1.49663,0.110345
7,0.087309,1.42379,0.0375
8,0.13223,1.35605,0.0302378
9,0.152106,1.31501,0.0712819
10,0.152674,1.30716,0.0791256
11,0.135664,1.33182,0.0544714
12,0.105378,1.37785,0.030545
13,0.0645801,1.43315,0.049323
14,0.0279316,1.48504,0.0987545


