Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 28
J1: 1,J2: -0.1,R1: 3,R2: 14,h = 3

Iteration:,0
Entropy:,0.683626
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.36725
1,0.798795,1.33393,0.0333185
2,0.48324,1.45563,0.0883804
3,0.328425,1.53093,0.163675
4,0.215462,1.56244,0.195188
5,0.122795,1.55711,0.189858
6,0.0432395,1.52213,0.154875
7,0.0281891,1.46333,0.0960761
8,0.0820383,1.39853,0.0312781
9,0.117748,1.34522,0.0220332
10,0.132983,1.31814,0.0491063
11,0.13171,1.31945,0.0478042
12,0.117131,1.34293,0.0243173
13,0.0950511,1.37777,0.0105227
14,0.0693002,1.41699,0.0497382


Iteration:,1
Entropy:,0.688359
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.37672
1,0.799328,1.35155,0.0251675
2,0.492662,1.47063,0.0939111
3,0.342291,1.54472,0.168003
4,0.228217,1.57364,0.196918
5,0.132662,1.56426,0.187541
6,0.0471062,1.52283,0.146111
7,0.0228938,1.4596,0.0828783
8,0.0740049,1.3911,0.0143849
9,0.103881,1.33714,0.0395834
10,0.113783,1.31498,0.0617354
11,0.108146,1.3255,0.051214
12,0.0890049,1.36012,0.0165984
13,0.0618682,1.40539,0.0286726
14,0.0322589,1.44867,0.0719488


Iteration:,2
Entropy:,0.688139
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.37628
1,0.796667,1.35367,0.0226069
2,0.457778,1.47174,0.0954609
3,0.288519,1.5443,0.168026
4,0.161111,1.57335,0.197072
5,0.0548889,1.56259,0.186308
6,0.0381481,1.5182,0.141927
7,0.118254,1.44612,0.0698444
8,0.178333,1.36346,0.0128152
9,0.209012,1.29913,0.0771492
10,0.206889,1.27796,0.0983212
11,0.181515,1.29575,0.0805267
12,0.142037,1.3361,0.0401824
13,0.0894872,1.39025,0.0139694
14,0.0342857,1.44425,0.0679753


Iteration:,3
Entropy:,0.691069
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38214
1,0.795847,1.36566,0.0164743
2,0.450291,1.47976,0.0976188
3,0.274365,1.54961,0.167474
4,0.141958,1.57975,0.197608
5,0.0287358,1.56812,0.185982
6,0.0726716,1.5208,0.138663
7,0.161931,1.44082,0.0586788
8,0.227209,1.34754,0.0345934
9,0.25477,1.27971,0.102433
10,0.251931,1.25573,0.126405
11,0.226981,1.27177,0.110372
12,0.184338,1.31715,0.0649849
13,0.129623,1.37771,0.00442868
14,0.0684388,1.44183,0.0596951


Averages
Entropy:,0.687798
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.3756
1,0.797659,1.3512,0.0243918
2,0.470993,1.46944,0.0938428
3,0.3084,1.54239,0.166795
4,0.186687,1.57229,0.196697
5,0.0847704,1.56302,0.187422
6,0.0502914,1.52099,0.145394
7,0.0828169,1.45247,0.0768694
8,0.140396,1.37516,0.0232679
9,0.171353,1.3153,0.0602996
10,0.176396,1.2917,0.0838919
11,0.162088,1.30312,0.0724792
12,0.133128,1.33908,0.0365207
13,0.0940074,1.38778,0.0143983
14,0.0510709,1.43794,0.0623393


