Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 25
J1: 1,J2: -0.1,R1: 3,R2: 14,h = -6

Iteration:,0
Entropy:,0.673902
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.3478
1,0.781758,1.31592,0.0318868
2,0.472869,1.43583,0.0880206
3,0.318054,1.51101,0.163208
4,0.20398,1.54153,0.193726
5,0.107091,1.53581,0.188005
6,0.0250914,1.50064,0.15284
7,0.0445912,1.44404,0.0962329
8,0.0987975,1.37878,0.0309752
9,0.132563,1.32683,0.0209723
10,0.142909,1.30503,0.0427724
11,0.136828,1.31276,0.0350487
12,0.119168,1.34025,0.00755744
13,0.0939685,1.37716,0.0293521
14,0.0644325,1.41568,0.0678755


Iteration:,1
Entropy:,0.670216
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.34043
1,0.7656,1.32009,0.020339
2,0.4356,1.43405,0.0936156
3,0.268563,1.5073,0.166864
4,0.146711,1.53455,0.19412
5,0.0447111,1.52483,0.184401
6,0.0447704,1.48466,0.144231
7,0.121384,1.42214,0.0817066
8,0.180789,1.35195,0.011519
9,0.219338,1.29117,0.0492567
10,0.225733,1.26772,0.0727116
11,0.202683,1.28391,0.056524
12,0.162363,1.32201,0.0184256
13,0.115768,1.36982,0.0293836
14,0.0693206,1.4138,0.0733649


Iteration:,2
Entropy:,0.662409
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.32482
1,0.754711,1.30266,0.0221576
2,0.440267,1.42275,0.0979321
3,0.282119,1.49447,0.169651
4,0.169711,1.51817,0.193348
5,0.0773778,1.50469,0.179874
6,0.000844444,1.46261,0.137797
7,0.0652889,1.40207,0.0772542
8,0.110567,1.34051,0.0156942
9,0.138622,1.29297,0.031847
10,0.147289,1.27387,0.0509445
11,0.137612,1.28867,0.0361501
12,0.115474,1.32561,0.000795753
13,0.0846051,1.37085,0.0460347
14,0.0497333,1.41446,0.0896421


Iteration:,3
Entropy:,0.666198
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.3324
1,0.762143,1.30871,0.023688
2,0.434365,1.43224,0.0998405
3,0.274736,1.50287,0.170473
4,0.158254,1.52647,0.194069
5,0.0688099,1.51281,0.180413
6,0.00378272,1.4716,0.139201
7,0.0575393,1.4137,0.0813005
8,0.090079,1.35502,0.0226213
9,0.10156,1.3118,0.020592
10,0.0914123,1.2994,0.0329971
11,0.0689679,1.31372,0.0186765
12,0.0413753,1.346,0.0136056
13,0.0159764,1.38514,0.0527397
14,0.00357178,1.42353,0.0911373


Averages
Entropy:,0.668181
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.33636
1,0.766053,1.31184,0.0245178
2,0.445775,1.43121,0.0948522
3,0.285868,1.50391,0.167549
4,0.169664,1.53018,0.193816
5,0.0744975,1.51954,0.183174
6,0.0186222,1.47988,0.143517
7,0.0722009,1.42049,0.0841235
8,0.120058,1.35656,0.0202024
9,0.148021,1.3057,0.030667
10,0.151836,1.28651,0.0498564
11,0.136523,1.29976,0.0365998
12,0.109595,1.33347,0.0100961
13,0.0775794,1.37574,0.0393775
14,0.0467646,1.41687,0.080505


