Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 26
J1: 1,J2: -0.1,R1: 3,R2: 14,h = -3

Iteration:,0
Entropy:,0.689387
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.37877
1,0.796933,1.35812,0.0206547
2,0.502489,1.47611,0.0973368
3,0.362119,1.54838,0.169604
4,0.254156,1.57623,0.197458
5,0.164933,1.56479,0.186021
6,0.0817481,1.51931,0.140533
7,0.0051873,1.44472,0.0659502
8,0.0536222,1.36066,0.0181157
9,0.0904741,1.29779,0.0809836
10,0.105289,1.27888,0.0998907
11,0.102461,1.29612,0.0826564
12,0.0869556,1.33625,0.0425223
13,0.0606735,1.3891,0.0103259
14,0.0259238,1.44403,0.0652539


Iteration:,1
Entropy:,0.686711
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.37342
1,0.796044,1.34892,0.0245024
2,0.459378,1.46853,0.0951056
3,0.289378,1.54184,0.168414
4,0.164933,1.57024,0.196822
5,0.0600444,1.56011,0.186683
6,0.0302519,1.51809,0.14467
7,0.106495,1.45132,0.0779022
8,0.162567,1.37551,0.0020889
9,0.187165,1.31873,0.0546948
10,0.185956,1.29686,0.0765666
11,0.1684,1.30643,0.0669928
12,0.137474,1.34071,0.032711
13,0.0989983,1.38479,0.0113688
14,0.0557016,1.43462,0.0611998


Iteration:,2
Entropy:,0.688359
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.37672
1,0.812662,1.33628,0.0404412
2,0.497106,1.45903,0.0823143
3,0.344514,1.53683,0.160109
4,0.233773,1.57105,0.194331
5,0.143773,1.57053,0.193811
6,0.0678469,1.54331,0.166595
7,0.00504268,1.49809,0.121374
8,0.0412272,1.44669,0.0699731
9,0.0730173,1.39803,0.0213079
10,0.0842272,1.36899,0.00772466
11,0.0806716,1.36217,0.0145512
12,0.066042,1.37298,0.00373416
13,0.0454579,1.39541,0.0186925
14,0.02337,1.42266,0.0459461


Iteration:,3
Entropy:,0.688991
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.37798
1,0.785032,1.36945,0.00853081
2,0.46281,1.48399,0.106007
3,0.296884,1.55453,0.17655
4,0.17281,1.57596,0.197983
5,0.0650321,1.55598,0.177999
6,0.029042,1.50179,0.123811
7,0.109254,1.42324,0.0452555
8,0.163579,1.34627,0.0317091
9,0.185091,1.30432,0.0736612
10,0.176746,1.30613,0.0718514
11,0.151332,1.3364,0.041583
12,0.11256,1.38317,0.00519048
13,0.0636858,1.43551,0.0575314
14,0.014333,1.48285,0.104864


Averages
Entropy:,0.688362
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.37672
1,0.797668,1.35319,0.0235323
2,0.480446,1.47191,0.0951909
3,0.323223,1.54539,0.168669
4,0.206418,1.57337,0.196649
5,0.108446,1.56285,0.186129
6,0.0522222,1.52063,0.143902
7,0.0564947,1.45434,0.0776205
8,0.105249,1.38228,0.0304717
9,0.133937,1.32972,0.0576619
10,0.138054,1.31272,0.0640084
11,0.125716,1.32528,0.0514459
12,0.100758,1.35828,0.0210395
13,0.0672039,1.4012,0.0244796
14,0.0298321,1.44604,0.0693158


