Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 12
J1: 1,J2: -0.1,R1: 1,R2: 14,h = -6

Iteration:,0
Entropy:,0.683315
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.36663
1,0.744844,1.38907,0.0224378
2,0.429289,1.50471,0.138076
3,0.267067,1.55868,0.192047
4,0.153178,1.55743,0.190799
5,0.0657333,1.52171,0.155078
6,0.00552593,1.46698,0.100348
7,0.0624571,1.40559,0.0389614
8,0.101822,1.35176,0.0148685
9,0.123551,1.31729,0.0493354
10,0.126489,1.30951,0.0571192
11,0.112933,1.33315,0.0334843
12,0.0853407,1.38191,0.0152847
13,0.0493436,1.43981,0.0731795
14,0.0121397,1.48755,0.120915


Iteration:,1
Entropy:,0.684818
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.36964
1,0.783388,1.35563,0.0140008
2,0.43561,1.46892,0.0992822
3,0.258943,1.54037,0.170736
4,0.126165,1.56662,0.196981
5,0.012721,1.55238,0.182744
6,0.0855012,1.5031,0.133468
7,0.165819,1.42589,0.0562507
8,0.218557,1.34551,0.0241299
9,0.244267,1.28089,0.0887465
10,0.239279,1.25563,0.114003
11,0.212168,1.27137,0.0982686
12,0.170131,1.31395,0.0556895
13,0.116612,1.37285,0.00321488
14,0.0589933,1.43485,0.0652153


Iteration:,2
Entropy:,0.682678
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.36536
1,0.756914,1.37514,0.00978328
2,0.43358,1.49688,0.131519
3,0.275432,1.55403,0.188674
4,0.162469,1.55902,0.193664
5,0.0738025,1.52695,0.161593
6,0.00209877,1.47025,0.104895
7,0.0561023,1.40192,0.0365666
8,0.0972531,1.34104,0.0243193
9,0.117901,1.305,0.0603595
10,0.118642,1.30584,0.0595203
11,0.108137,1.33263,0.0327256
12,0.0869753,1.37665,0.0112944
13,0.0577873,1.42642,0.0610631
14,0.0261023,1.47264,0.107287


Iteration:,3
Entropy:,0.683315
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.36663
1,0.773733,1.36031,0.00632178
2,0.439289,1.48595,0.119322
3,0.273733,1.54909,0.182462
4,0.152622,1.56289,0.196257
5,0.0524,1.53683,0.170205
6,0.0299704,1.48237,0.115738
7,0.0973778,1.41104,0.0444147
8,0.144322,1.34041,0.0262235
9,0.162563,1.29523,0.0714043
10,0.1556,1.29039,0.0762371
11,0.132529,1.31773,0.0489044
12,0.0990444,1.3631,0.00353319
13,0.0599419,1.41488,0.048248
14,0.017219,1.46336,0.0967321


Averages
Entropy:,0.683532
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.36706
1,0.76472,1.37004,0.0131359
2,0.434442,1.48911,0.12205
3,0.268794,1.55054,0.18348
4,0.148609,1.56149,0.194425
5,0.0511642,1.53447,0.167405
6,0.0307741,1.48068,0.113612
7,0.095439,1.41111,0.0440483
8,0.140489,1.34468,0.0223853
9,0.16207,1.2996,0.0674614
10,0.160002,1.29034,0.0767198
11,0.141442,1.31372,0.0533457
12,0.110373,1.3589,0.0214505
13,0.0709213,1.41349,0.0464264
14,0.0286136,1.4646,0.0975375


